id,counts,density,name,acronym
0,0,0,b'background',b'background',b'background',b'background',b'background',b'background',b'background',b'background',b'background'
172,0,0,"b'Anteromedial visual area, layer 1'",b'VISam1',b'VISam1',b'VISam',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
173,0,0,"b'Anteromedial visual area, layer 2/3'",b'VISam2/3',b'VISam2/3',b'VISam',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
174,0,0,"b'Anteromedial visual area, layer 4'",b'VISam4',b'VISam4',b'VISam',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
175,0,0,"b'Anteromedial visual area, layer 5'",b'VISam5',b'VISam5',b'VISam',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
176,0,0,"b'Anteromedial visual area, layer 6a'",b'VISam6a',b'VISam6a',b'VISam',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
177,0,0,"b'Anteromedial visual area, layer 6b'",b'VISam6b',b'VISam6b',b'VISam',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
178,0,0,b'Lateral visual area',b'VISl',b'VISl',b'VISl',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
179,0,0,"b'Lateral visual area, layer 1'",b'VISl1',b'VISl1',b'VISl',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
180,0,0,"b'Lateral visual area, layer 2/3'",b'VISl2/3',b'VISl2/3',b'VISl',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
181,0,0,"b'Lateral visual area, layer 4'",b'VISl4',b'VISl4',b'VISl',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
182,0,0,"b'Lateral visual area, layer 5'",b'VISl5',b'VISl5',b'VISl',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
183,0,0,"b'Lateral visual area, layer 6a'",b'VISl6a',b'VISl6a',b'VISl',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
184,0,0,"b'Lateral visual area, layer 6b'",b'VISl6b',b'VISl6b',b'VISl',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
185,0,0,b'Primary visual area',b'VISp',b'VISp',b'VISp',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
186,0,0,"b'Primary visual area, layer 1'",b'VISp1',b'VISp1',b'VISp',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
187,0,0,"b'Primary visual area, layer 2/3'",b'VISp2/3',b'VISp2/3',b'VISp',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
188,0,0,"b'Primary visual area, layer 4'",b'VISp4',b'VISp4',b'VISp',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
189,0,0,"b'Primary visual area, layer 5'",b'VISp5',b'VISp5',b'VISp',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
190,0,0,"b'Primary visual area, layer 6a'",b'VISp6a',b'VISp6a',b'VISp',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
191,0,0,"b'Primary visual area, layer 6b'",b'VISp6b',b'VISp6b',b'VISp',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
192,0,0,b'Posterolateral visual area',b'VISpl',b'VISpl',b'VISpl',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
193,0,0,"b'Posterolateral visual area, layer 1'",b'VISpl1',b'VISpl1',b'VISpl',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
194,0,0,"b'Posterolateral visual area, layer 2/3'",b'VISpl2/3',b'VISpl2/3',b'VISpl',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
195,0,0,"b'Posterolateral visual area, layer 4'",b'VISpl4',b'VISpl4',b'VISpl',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
196,0,0,"b'Posterolateral visual area, layer 5'",b'VISpl5',b'VISpl5',b'VISpl',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
197,0,0,"b'Posterolateral visual area, layer 6a'",b'VISpl6a',b'VISpl6a',b'VISpl',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
198,0,0,"b'Posterolateral visual area, layer 6b'",b'VISpl6b',b'VISpl6b',b'VISpl',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
199,0,0,b'posteromedial visual area',b'VISpm',b'VISpm',b'VISpm',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
200,0,0,"b'posteromedial visual area, layer 1'",b'VISpm1',b'VISpm1',b'VISpm',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
201,0,0,"b'posteromedial visual area, layer 2/3'",b'VISpm2/3',b'VISpm2/3',b'VISpm',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
202,0,0,"b'posteromedial visual area, layer 4'",b'VISpm4',b'VISpm4',b'VISpm',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
203,0,0,"b'posteromedial visual area, layer 5'",b'VISpm5',b'VISpm5',b'VISpm',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
204,0,0,"b'posteromedial visual area, layer 6a'",b'VISpm6a',b'VISpm6a',b'VISpm',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
205,0,0,"b'posteromedial visual area, layer 6b'",b'VISpm6b',b'VISpm6b',b'VISpm',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
206,0,0,b'Laterointermediate area',b'VISli',b'VISli',b'VISli',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
207,0,0,"b'Laterointermediate area, layer 1'",b'VISli1',b'VISli1',b'VISli',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
208,0,0,"b'Laterointermediate area, layer 2/3'",b'VISli2/3',b'VISli2/3',b'VISli',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
209,0,0,"b'Laterointermediate area, layer 4'",b'VISli4',b'VISli4',b'VISli',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
210,0,0,"b'Laterointermediate area, layer 5'",b'VISli5',b'VISli5',b'VISli',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
211,0,0,"b'Laterointermediate area, layer 6a'",b'VISli6a',b'VISli6a',b'VISli',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
212,0,0,"b'Laterointermediate area, layer 6b'",b'VISli6b',b'VISli6b',b'VISli',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
213,0,0,b'Postrhinal area',b'VISpor',b'VISpor',b'VISpor',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
214,0,0,"b'Postrhinal area, layer 1'",b'VISpor1',b'VISpor1',b'VISpor',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
215,0,0,"b'Postrhinal area, layer 2/3'",b'VISpor2/3',b'VISpor2/3',b'VISpor',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
216,0,0,"b'Postrhinal area, layer 4'",b'VISpor4',b'VISpor4',b'VISpor',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
217,0,0,"b'Postrhinal area, layer 5'",b'VISpor5',b'VISpor5',b'VISpor',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
218,0,0,"b'Postrhinal area, layer 6a'",b'VISpor6a',b'VISpor6a',b'VISpor',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
219,0,0,"b'Postrhinal area, layer 6b'",b'VISpor6b',b'VISpor6b',b'VISpor',b'VIS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
220,0,0,b'Anterior cingulate area',b'ACA',b'ACA',b'ACA',b'ACA',b'Isocortex',b'CTXpl',b'CTX',b'CH'
221,0,0,"b'Anterior cingulate area, layer 1'",b'ACA1',b'ACA1',b'ACA1',b'ACA',b'Isocortex',b'CTXpl',b'CTX',b'CH'
222,0,0,"b'Anterior cingulate area, layer 2/3'",b'ACA2/3',b'ACA2/3',b'ACA2/3',b'ACA',b'Isocortex',b'CTXpl',b'CTX',b'CH'
223,0,0,"b'Anterior cingulate area, layer 5'",b'ACA5',b'ACA5',b'ACA5',b'ACA',b'Isocortex',b'CTXpl',b'CTX',b'CH'
224,0,0,"b'Anterior cingulate area, layer 6a'",b'ACA6a',b'ACA6a',b'ACA6a',b'ACA',b'Isocortex',b'CTXpl',b'CTX',b'CH'
225,0,0,"b'Anterior cingulate area, layer 6b'",b'ACA6b',b'ACA6b',b'ACA6b',b'ACA',b'Isocortex',b'CTXpl',b'CTX',b'CH'
226,0,0,"b'Anterior cingulate area, dorsal part'",b'ACAd',b'ACAd',b'ACAd',b'ACA',b'Isocortex',b'CTXpl',b'CTX',b'CH'
227,0,0,"b'Anterior cingulate area, dorsal part, layer 1'",b'ACAd1',b'ACAd1',b'ACAd',b'ACA',b'Isocortex',b'CTXpl',b'CTX',b'CH'
228,0,0,"b'Anterior cingulate area, dorsal part, layer 2/3'",b'ACAd2/3',b'ACAd2/3',b'ACAd',b'ACA',b'Isocortex',b'CTXpl',b'CTX',b'CH'
229,0,0,"b'Anterior cingulate area, dorsal part, layer 5'",b'ACAd5',b'ACAd5',b'ACAd',b'ACA',b'Isocortex',b'CTXpl',b'CTX',b'CH'
230,0,0,"b'Anterior cingulate area, dorsal part, layer 6a'",b'ACAd6a',b'ACAd6a',b'ACAd',b'ACA',b'Isocortex',b'CTXpl',b'CTX',b'CH'
231,0,0,"b'Anterior cingulate area, dorsal part, layer 6b'",b'ACAd6b',b'ACAd6b',b'ACAd',b'ACA',b'Isocortex',b'CTXpl',b'CTX',b'CH'
232,0,0,"b'Anterior cingulate area, ventral part'",b'ACAv',b'ACAv',b'ACAv',b'ACA',b'Isocortex',b'CTXpl',b'CTX',b'CH'
233,0,0,"b'Anterior cingulate area, ventral part, layer 1'",b'ACAv1',b'ACAv1',b'ACAv',b'ACA',b'Isocortex',b'CTXpl',b'CTX',b'CH'
234,0,0,"b'Anterior cingulate area, ventral part, layer 2/3'",b'ACAv2/3',b'ACAv2/3',b'ACAv',b'ACA',b'Isocortex',b'CTXpl',b'CTX',b'CH'
235,0,0,"b'Anterior cingulate area, ventral part, layer 5'",b'ACAv5',b'ACAv5',b'ACAv',b'ACA',b'Isocortex',b'CTXpl',b'CTX',b'CH'
236,0,0,"b'Anterior cingulate area, ventral part, 6a'",b'ACAv6a',b'ACAv6a',b'ACAv',b'ACA',b'Isocortex',b'CTXpl',b'CTX',b'CH'
237,0,0,"b'Anterior cingulate area, ventral part, 6b'",b'ACAv6b',b'ACAv6b',b'ACAv',b'ACA',b'Isocortex',b'CTXpl',b'CTX',b'CH'
238,0,0,b'Prelimbic area',b'PL',b'PL',b'PL',b'PL',b'Isocortex',b'CTXpl',b'CTX',b'CH'
239,0,0,"b'Prelimbic area, layer 1'",b'PL1',b'PL1',b'PL1',b'PL',b'Isocortex',b'CTXpl',b'CTX',b'CH'
240,0,0,"b'Prelimbic area, layer 2'",b'PL2',b'PL2',b'PL2',b'PL',b'Isocortex',b'CTXpl',b'CTX',b'CH'
241,0,0,"b'Prelimbic area, layer 2/3'",b'PL2/3',b'PL2/3',b'PL2/3',b'PL',b'Isocortex',b'CTXpl',b'CTX',b'CH'
242,0,0,"b'Prelimbic area, layer 5'",b'PL5',b'PL5',b'PL5',b'PL',b'Isocortex',b'CTXpl',b'CTX',b'CH'
243,0,0,"b'Prelimbic area, layer 6a'",b'PL6a',b'PL6a',b'PL6a',b'PL',b'Isocortex',b'CTXpl',b'CTX',b'CH'
244,0,0,"b'Prelimbic area, layer 6b'",b'PL6b',b'PL6b',b'PL6b',b'PL',b'Isocortex',b'CTXpl',b'CTX',b'CH'
245,0,0,b'Infralimbic area',b'ILA',b'ILA',b'ILA',b'ILA',b'Isocortex',b'CTXpl',b'CTX',b'CH'
246,0,0,"b'Infralimbic area, layer 1'",b'ILA1',b'ILA1',b'ILA1',b'ILA',b'Isocortex',b'CTXpl',b'CTX',b'CH'
247,0,0,"b'Infralimbic area, layer 2'",b'ILA2',b'ILA2',b'ILA2',b'ILA',b'Isocortex',b'CTXpl',b'CTX',b'CH'
248,0,0,"b'Infralimbic area, layer 2/3'",b'ILA2/3',b'ILA2/3',b'ILA2/3',b'ILA',b'Isocortex',b'CTXpl',b'CTX',b'CH'
249,0,0,"b'Infralimbic area, layer 5'",b'ILA5',b'ILA5',b'ILA5',b'ILA',b'Isocortex',b'CTXpl',b'CTX',b'CH'
250,0,0,"b'Infralimbic area, layer 6a'",b'ILA6a',b'ILA6a',b'ILA6a',b'ILA',b'Isocortex',b'CTXpl',b'CTX',b'CH'
251,0,0,"b'Infralimbic area, layer 6b'",b'ILA6b',b'ILA6b',b'ILA6b',b'ILA',b'Isocortex',b'CTXpl',b'CTX',b'CH'
252,0,0,b'Orbital area',b'ORB',b'ORB',b'ORB',b'ORB',b'Isocortex',b'CTXpl',b'CTX',b'CH'
253,0,0,"b'Orbital area, layer 1'",b'ORB1',b'ORB1',b'ORB1',b'ORB',b'Isocortex',b'CTXpl',b'CTX',b'CH'
254,0,0,"b'Orbital area, layer 2/3'",b'ORB2/3',b'ORB2/3',b'ORB2/3',b'ORB',b'Isocortex',b'CTXpl',b'CTX',b'CH'
255,0,0,"b'Orbital area, layer 5'",b'ORB5',b'ORB5',b'ORB5',b'ORB',b'Isocortex',b'CTXpl',b'CTX',b'CH'
256,0,0,"b'Orbital area, layer 6a'",b'ORB6a',b'ORB6a',b'ORB6a',b'ORB',b'Isocortex',b'CTXpl',b'CTX',b'CH'
257,0,0,"b'Orbital area, layer 6b'",b'ORB6b',b'ORB6b',b'ORB6b',b'ORB',b'Isocortex',b'CTXpl',b'CTX',b'CH'
258,0,0,"b'Orbital area, lateral part'",b'ORBl',b'ORBl',b'ORBl',b'ORB',b'Isocortex',b'CTXpl',b'CTX',b'CH'
259,0,0,"b'Orbital area, lateral part, layer 1'",b'ORBl1',b'ORBl1',b'ORBl',b'ORB',b'Isocortex',b'CTXpl',b'CTX',b'CH'
260,0,0,"b'Orbital area, lateral part, layer 2/3'",b'ORBl2/3',b'ORBl2/3',b'ORBl',b'ORB',b'Isocortex',b'CTXpl',b'CTX',b'CH'
261,0,0,"b'Orbital area, lateral part, layer 5'",b'ORBl5',b'ORBl5',b'ORBl',b'ORB',b'Isocortex',b'CTXpl',b'CTX',b'CH'
262,0,0,"b'Orbital area, lateral part, layer 6a'",b'ORBl6a',b'ORBl6a',b'ORBl',b'ORB',b'Isocortex',b'CTXpl',b'CTX',b'CH'
263,0,0,"b'Orbital area, lateral part, layer 6b'",b'ORBl6b',b'ORBl6b',b'ORBl',b'ORB',b'Isocortex',b'CTXpl',b'CTX',b'CH'
264,0,0,"b'Orbital area, medial part'",b'ORBm',b'ORBm',b'ORBm',b'ORB',b'Isocortex',b'CTXpl',b'CTX',b'CH'
265,0,0,"b'Orbital area, medial part, layer 1'",b'ORBm1',b'ORBm1',b'ORBm',b'ORB',b'Isocortex',b'CTXpl',b'CTX',b'CH'
266,0,0,"b'Orbital area, medial part, layer 2'",b'ORBm2',b'ORBm2',b'ORBm',b'ORB',b'Isocortex',b'CTXpl',b'CTX',b'CH'
267,0,0,"b'Orbital area, medial part, layer 2/3'",b'ORBm2/3',b'ORBm2/3',b'ORBm',b'ORB',b'Isocortex',b'CTXpl',b'CTX',b'CH'
268,0,0,"b'Orbital area, medial part, layer 5'",b'ORBm5',b'ORBm5',b'ORBm',b'ORB',b'Isocortex',b'CTXpl',b'CTX',b'CH'
269,0,0,"b'Orbital area, medial part, layer 6a'",b'ORBm6a',b'ORBm6a',b'ORBm',b'ORB',b'Isocortex',b'CTXpl',b'CTX',b'CH'
270,0,0,"b'Orbital area, medial part, layer 6b'",b'ORBm6b',b'ORBm6b',b'ORBm',b'ORB',b'Isocortex',b'CTXpl',b'CTX',b'CH'
271,0,0,"b'Orbital area, ventral part'",b'ORBv',b'ORBv',b'ORBv',b'ORB',b'Isocortex',b'CTXpl',b'CTX',b'CH'
272,0,0,"b'Orbital area, ventrolateral part'",b'ORBvl',b'ORBvl',b'ORBvl',b'ORB',b'Isocortex',b'CTXpl',b'CTX',b'CH'
273,0,0,"b'Orbital area, ventrolateral part, layer 1'",b'ORBvl1',b'ORBvl1',b'ORBvl',b'ORB',b'Isocortex',b'CTXpl',b'CTX',b'CH'
274,0,0,"b'Orbital area, ventrolateral part, layer 2/3'",b'ORBvl2/3',b'ORBvl2/3',b'ORBvl',b'ORB',b'Isocortex',b'CTXpl',b'CTX',b'CH'
275,0,0,"b'Orbital area, ventrolateral part, layer 5'",b'ORBvl5',b'ORBvl5',b'ORBvl',b'ORB',b'Isocortex',b'CTXpl',b'CTX',b'CH'
276,0,0,"b'Orbital area, ventrolateral part, layer 6a'",b'ORBvl6a',b'ORBvl6a',b'ORBvl',b'ORB',b'Isocortex',b'CTXpl',b'CTX',b'CH'
277,0,0,"b'Orbital area, ventrolateral part, layer 6b'",b'ORBvl6b',b'ORBvl6b',b'ORBvl',b'ORB',b'Isocortex',b'CTXpl',b'CTX',b'CH'
278,0,0,b'Agranular insular area',b'AI',b'AI',b'AI',b'AI',b'Isocortex',b'CTXpl',b'CTX',b'CH'
279,0,0,"b'Agranular insular area, dorsal part'",b'AId',b'AId',b'AId',b'AI',b'Isocortex',b'CTXpl',b'CTX',b'CH'
280,0,0,"b'Agranular insular area, dorsal part, layer 1'",b'AId1',b'AId1',b'AId',b'AI',b'Isocortex',b'CTXpl',b'CTX',b'CH'
281,0,0,"b'Agranular insular area, dorsal part, layer 2/3'",b'AId2/3',b'AId2/3',b'AId',b'AI',b'Isocortex',b'CTXpl',b'CTX',b'CH'
282,0,0,"b'Agranular insular area, dorsal part, layer 5'",b'AId5',b'AId5',b'AId',b'AI',b'Isocortex',b'CTXpl',b'CTX',b'CH'
283,0,0,"b'Agranular insular area, dorsal part, layer 6a'",b'AId6a',b'AId6a',b'AId',b'AI',b'Isocortex',b'CTXpl',b'CTX',b'CH'
284,0,0,"b'Agranular insular area, dorsal part, layer 6b'",b'AId6b',b'AId6b',b'AId',b'AI',b'Isocortex',b'CTXpl',b'CTX',b'CH'
285,0,0,"b'Agranular insular area, posterior part'",b'AIp',b'AIp',b'AIp',b'AI',b'Isocortex',b'CTXpl',b'CTX',b'CH'
286,0,0,"b'Agranular insular area, posterior part, layer 1'",b'AIp1',b'AIp1',b'AIp',b'AI',b'Isocortex',b'CTXpl',b'CTX',b'CH'
287,0,0,"b'Agranular insular area, posterior part, layer 2/3'",b'AIp2/3',b'AIp2/3',b'AIp',b'AI',b'Isocortex',b'CTXpl',b'CTX',b'CH'
288,0,0,"b'Agranular insular area, posterior part, layer 5'",b'AIp5',b'AIp5',b'AIp',b'AI',b'Isocortex',b'CTXpl',b'CTX',b'CH'
289,0,0,"b'Agranular insular area, posterior part, layer 6a'",b'AIp6a',b'AIp6a',b'AIp',b'AI',b'Isocortex',b'CTXpl',b'CTX',b'CH'
290,0,0,"b'Agranular insular area, posterior part, layer 6b'",b'AIp6b',b'AIp6b',b'AIp',b'AI',b'Isocortex',b'CTXpl',b'CTX',b'CH'
291,0,0,"b'Agranular insular area, ventral part'",b'AIv',b'AIv',b'AIv',b'AI',b'Isocortex',b'CTXpl',b'CTX',b'CH'
292,0,0,"b'Agranular insular area, ventral part, layer 1'",b'AIv1',b'AIv1',b'AIv',b'AI',b'Isocortex',b'CTXpl',b'CTX',b'CH'
293,0,0,"b'Agranular insular area, ventral part, layer 2/3'",b'AIv2/3',b'AIv2/3',b'AIv',b'AI',b'Isocortex',b'CTXpl',b'CTX',b'CH'
294,0,0,"b'Agranular insular area, ventral part, layer 5'",b'AIv5',b'AIv5',b'AIv',b'AI',b'Isocortex',b'CTXpl',b'CTX',b'CH'
295,0,0,"b'Agranular insular area, ventral part, layer 6a'",b'AIv6a',b'AIv6a',b'AIv',b'AI',b'Isocortex',b'CTXpl',b'CTX',b'CH'
296,0,0,"b'Agranular insular area, ventral part, layer 6b'",b'AIv6b',b'AIv6b',b'AIv',b'AI',b'Isocortex',b'CTXpl',b'CTX',b'CH'
297,0,0,b'Retrosplenial area',b'RSP',b'RSP',b'RSP',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
298,0,0,"b'Retrosplenial area, lateral agranular part'",b'RSPagl',b'RSPagl',b'RSPagl',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
299,0,0,"b'Retrosplenial area, lateral agranular part, layer 1'",b'RSPagl1',b'RSPagl1',b'RSPagl',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
300,0,0,"b'Retrosplenial area, lateral agranular part, layer 2/3'",b'RSPagl2/3',b'RSPagl2/3',b'RSPagl',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
301,0,0,"b'Retrosplenial area, lateral agranular part, layer 5'",b'RSPagl5',b'RSPagl5',b'RSPagl',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
302,0,0,"b'Retrosplenial area, lateral agranular part, layer 6a'",b'RSPagl6a',b'RSPagl6a',b'RSPagl',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
303,0,0,"b'Retrosplenial area, lateral agranular part, layer 6b'",b'RSPagl6b',b'RSPagl6b',b'RSPagl',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
304,0,0,b'Mediomedial anterior visual area',b'VISmma',b'VISmma',b'RSPagl',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
305,0,0,"b'Mediomedial anterior visual area, layer 1'",b'VISmma1',b'VISmma',b'RSPagl',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
306,0,0,"b'Mediomedial anterior visual area, layer 2/3'",b'VISmma2/3',b'VISmma',b'RSPagl',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
307,0,0,"b'Mediomedial anterior visual area, layer 4'",b'VISmma4',b'VISmma',b'RSPagl',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
308,0,0,"b'Mediomedial anterior visual area,layer 5'",b'VISmma5',b'VISmma',b'RSPagl',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
309,0,0,"b'Mediomedial anterior visual area, layer 6a'",b'VISmma6a',b'VISmma',b'RSPagl',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
310,0,0,"b'Mediomedial anterior visual area, layer 6b'",b'VISmma6b',b'VISmma',b'RSPagl',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
311,0,0,b'Mediomedial posterior visual area',b'VISmmp',b'VISmmp',b'RSPagl',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
312,0,0,"b'Mediomedial posterior visual area, layer 1'",b'VISmmp1',b'VISmmp',b'RSPagl',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
313,0,0,"b'Mediomedial posterior visual area, layer 2/3'",b'VISmmp2/3',b'VISmmp',b'RSPagl',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
314,0,0,"b'Mediomedial posterior visual area, layer 4'",b'VISmmp4',b'VISmmp',b'RSPagl',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
315,0,0,"b'Mediomedial posterior visual area,layer 5'",b'VISmmp5',b'VISmmp',b'RSPagl',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
316,0,0,"b'Mediomedial posterior visual area, layer 6a'",b'VISmmp6a',b'VISmmp',b'RSPagl',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
317,0,0,"b'Mediomedial posterior visual area, layer 6b'",b'VISmmp6b',b'VISmmp',b'RSPagl',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
318,0,0,b'Medial visual area',b'VISm',b'VISm',b'RSPagl',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
319,0,0,"b'Medial visual area, layer 1'",b'VISm1',b'VISm',b'RSPagl',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
320,0,0,"b'Medial visual area, layer 2/3'",b'VISm2/3',b'VISm',b'RSPagl',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
321,0,0,"b'Medial visual area, layer 4'",b'VISm4',b'VISm',b'RSPagl',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
322,0,0,"b'Medial visual area,layer 5'",b'VISm5',b'VISm',b'RSPagl',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
323,0,0,"b'Medial visual area, layer 6a'",b'VISm6a',b'VISm',b'RSPagl',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
324,0,0,"b'Medial visual area, layer 6b'",b'VISm6b',b'VISm',b'RSPagl',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
325,0,0,"b'Retrosplenial area, dorsal part'",b'RSPd',b'RSPd',b'RSPd',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
326,0,0,"b'Retrosplenial area, dorsal part, layer 1'",b'RSPd1',b'RSPd1',b'RSPd',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
327,0,0,"b'Retrosplenial area, dorsal part, layer 2/3'",b'RSPd2/3',b'RSPd2/3',b'RSPd',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
328,0,0,"b'Retrosplenial area, dorsal part, layer 4'",b'RSPd4',b'RSPd4',b'RSPd',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
329,0,0,"b'Retrosplenial area, dorsal part, layer 5'",b'RSPd5',b'RSPd5',b'RSPd',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
330,0,0,"b'Retrosplenial area, dorsal part, layer 6a'",b'RSPd6a',b'RSPd6a',b'RSPd',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
331,0,0,"b'Retrosplenial area, dorsal part, layer 6b'",b'RSPd6b',b'RSPd6b',b'RSPd',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
332,0,0,"b'Retrosplenial area, ventral part'",b'RSPv',b'RSPv',b'RSPv',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
333,0,0,"b'Retrosplenial area, ventral part, layer 1'",b'RSPv1',b'RSPv1',b'RSPv',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
334,0,0,"b'Retrosplenial area, ventral part, layer 2'",b'RSPv2',b'RSPv2',b'RSPv',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
335,0,0,"b'Retrosplenial area, ventral part, layer 2/3'",b'RSPv2/3',b'RSPv2/3',b'RSPv',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
336,0,0,"b'Retrosplenial area, ventral part, layer 5'",b'RSPv5',b'RSPv5',b'RSPv',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
337,0,0,"b'Retrosplenial area, ventral part, layer 6a'",b'RSPv6a',b'RSPv6a',b'RSPv',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
338,0,0,"b'Retrosplenial area, ventral part, layer 6b'",b'RSPv6b',b'RSPv6b',b'RSPv',b'RSP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
339,0,0,b'Posterior parietal association areas',b'PTLp',b'PTLp',b'PTLp',b'PTLp',b'Isocortex',b'CTXpl',b'CTX',b'CH'
340,0,0,"b'Posterior parietal association areas, layer 1'",b'PTLp1',b'PTLp1',b'PTLp1',b'PTLp',b'Isocortex',b'CTXpl',b'CTX',b'CH'
